0000021253;2023/08/15;flight
Book0000874855;2023/08/15;reservation
0000155198;2023/05/11;flight
0000099485;2023/05/10;flight
Book0004105840;2023/05/10;reservation
0000132284;2023/04/09;flight
0000122602;2023/03/19;flight
0000123553;2023/02/10;flight
Book0005101824;2023/02/10;reservation
0000143836;2022/12/18;flight
0000084187;2022/11/17;flight
0000054931;2022/11/11;flight
0000043823;2022/10/05;flight
Book0001805433;2022/10/05;reservation
0000147254;2022/07/15;flight
Book0001699098;2022/01/03;reservation
0000074698;2021/10/09;flight
Book0003081737;2021/10/09;reservation
0000184935;2021/06/16;flight
Book0000542737;2021/04/11;reservation
0000078626;2021/03/05;flight
Book0003244551;2021/03/05;reservation
0000066057;2021/02/13;flight
Book0002725095;2021/02/13;reservation
