Book0000213942;2023/09/01;2023/09/04;NaFonseca127;2;489.600
Book0000213944;2023/09/01;2023/09/04;RMendes1283;4;489.600
Book0000213949;2023/09/01;2023/09/04;CMoura669;1;489.600
Book0000213953;2023/09/01;2023/09/04;RúbeCorreia-Matos;2;489.600
Book0000573785;2023/09/01;2023/09/05;LNeto-Rodrigues1920;4;652.800
Book0000776594;2023/09/01;2023/09/05;MeVieira1424;1;652.800
Book0000776597;2023/09/01;2023/09/05;ACorreia1628;4;652.800
Book0000776602;2023/09/01;2023/09/02;ClarJesus975;2;163.200
Book0000776604;2023/09/01;2023/09/03;Lara-BáSilva1617;3;326.400
Book0000776611;2023/09/01;2023/09/04;FáCastro1340;4;489.600
Book0000776619;2023/09/01;2023/09/03;RúBarros1506;3;326.400
Book0000776620;2023/09/01;2023/09/03;EMoura188;1;326.400
Book0001554083;2023/09/01;2023/09/03;VVicente1190;2;326.400
Book0001554086;2023/09/01;2023/09/05;ASantos388;1;652.800
Book0001554094;2023/09/01;2023/09/04;CláuMota1908;2;489.600
Book0001554095;2023/09/01;2023/09/03;Leonor-Freitas1171;4;326.400
Book0001554098;2023/09/01;2023/09/02;RMatias1780;2;163.200
Book0001554103;2023/09/01;2023/09/05;SamueAnjos1386;3;652.800
Book0002277379;2023/09/01;2023/09/03;AmVicente1779;2;326.400
Book0002277387;2023/09/01;2023/09/02;LAmorim495;3;163.200
Book0002277394;2023/09/01;2023/09/03;EmFernandes1175;2;326.400
Book0002455590;2023/09/01;2023/09/04;YarGonçalves1058;1;489.600
Book0002455595;2023/09/01;2023/09/04;DiniPinho1106;4;489.600
Book0002455598;2023/09/01;2023/09/03;DaniAntunes122;3;326.400
Book0002455599;2023/09/01;2023/09/03;CatariSilva645;2;326.400
Book0002455601;2023/09/01;2023/09/04;CSilva1193;3;489.600
Book0002455603;2023/09/01;2023/09/02;JMatias1084;1;163.200
Book0002455610;2023/09/01;2023/09/02;MarSoares1235;1;163.200
Book0002455614;2023/09/01;2023/09/02;CFernandes132;2;163.200
Book0002455615;2023/09/01;2023/09/04;BáOliveira1936;2;489.600
Book0002921605;2023/09/01;2023/09/02;WillMartins286;1;163.200
Book0003105287;2023/09/01;2023/09/05;MNeto1066;3;652.800
Book0003105288;2023/09/01;2023/09/04;EduaJesus1742;3;489.600
Book0003105290;2023/09/01;2023/09/02;FeAnjos;3;163.200
Book0003105293;2023/09/01;2023/09/03;RiCampos606;1;326.400
Book0003105303;2023/09/01;2023/09/02;VFaria1991;1;163.200
Book0003958903;2023/09/01;2023/09/04;FabiaNascimento1896;4;489.600
Book0003958906;2023/09/01;2023/09/05;CarlTeixeira1663;3;652.800
Book0003958914;2023/09/01;2023/09/05;FGarcia1842;4;652.800
Book0003958919;2023/09/01;2023/09/04;CaetBrito433;2;489.600
Book0003958922;2023/09/01;2023/09/05;Amélia-TeresMatias;4;652.800
Book0003958923;2023/09/01;2023/09/02;Andreia-KyarNunes1599;2;163.200
Book0003958925;2023/09/01;2023/09/04;JoãCorreia265;4;489.600
Book0004046993;2023/09/01;2023/09/05;FiMoura1394;3;652.800
Book0004046998;2023/09/01;2023/09/05;ClarCosta717;1;652.800
Book0004047001;2023/09/01;2023/09/02;GustaAzevedo;4;163.200
Book0004047004;2023/09/01;2023/09/04;CarlMiranda-Gonçalves286;2;489.600
Book0004047008;2023/09/01;2023/09/04;ASimões1719;2;489.600
Book0000622401;2023/08/22;2023/08/23;LuciLeite882;1;163.200
Book0000622408;2023/08/22;2023/08/26;ConstanLoureiro1337;3;652.800
Book0000622409;2023/08/22;2023/08/24;YarBorges1827;3;326.400
Book0000622417;2023/08/22;2023/08/26;DHenriques53;3;652.800
Book0000622418;2023/08/22;2023/08/24;CarmiNeto-Silva984;3;326.400
Book0000622420;2023/08/22;2023/08/24;Joana-EAndrade1128;1;326.400
Book0000622422;2023/08/22;2023/08/23;BMartins202;2;163.200
Book0002423066;2023/08/22;2023/08/25;JéssAmaral946;4;489.600
Book0002423072;2023/08/22;2023/08/26;Emília-MélaniAlmeida801;3;652.800
Book0002423073;2023/08/22;2023/08/25;MárciLoureiro1822;1;489.600
Book0002423075;2023/08/22;2023/08/25;CaetanCosta1329;3;489.600
Book0002423080;2023/08/22;2023/08/23;ETorres667;1;163.200
Book0002423084;2023/08/22;2023/08/23;IMatos144;1;163.200
Book0002423085;2023/08/22;2023/08/26;NaEsteves1937;3;652.800
Book0003163824;2023/08/22;2023/08/24;LeCunha1345;1;326.400
Book0003163843;2023/08/22;2023/08/23;GiRibeiro1394;1;163.200
Book0003380085;2023/08/22;2023/08/23;MigueAntunes1731;3;163.200
