0000103085;2023/08/17;flight
Book0004255420;2023/08/17;reservation
0000193333;2023/07/03;flight
0000058510;2023/05/20;flight
0000071431;2023/02/08;flight
Book0002946234;2023/02/08;reservation
0000194643;2022/04/14;flight
0000092611;2022/02/05;flight
0000013248;2021/10/12;flight
0000189610;2021/10/03;flight
0000118740;2021/08/13;flight
Book0004903090;2021/08/13;reservation
0000094030;2021/08/02;flight
0000022906;2021/04/11;flight
Book0000943102;2021/04/11;reservation
0000158928;2021/04/08;flight
