1;0;257;20751;20546;8677
2;0;267;21714;21478;8924
3;0;226;18542;18362;7917
4;0;261;21479;21221;8648
5;0;276;22454;22202;9096
6;0;265;21337;21113;9029
7;0;245;20344;20125;8160
8;0;266;21452;21224;8414
9;0;270;22226;21996;9693
10;0;245;19917;19713;8194
11;0;251;20583;20386;8689
12;0;261;21695;21452;8107
13;0;261;21266;21024;8679
14;0;232;19136;18934;7903
15;0;289;24176;23863;9394
16;0;268;21574;21331;8260
17;0;259;21445;21216;8151
18;0;221;18574;18412;8076
19;0;270;21725;21483;8555
20;0;261;21295;21047;8164
21;0;276;22506;22254;9256
22;0;228;18738;18570;7454
