0000110752;2023/08/08;flight
0000140887;2023/06/22;flight
0000064216;2023/04/22;flight
Book0002648434;2023/04/22;reservation
0000165266;2023/03/22;flight
0000091422;2023/02/20;flight
Book0003771955;2023/02/20;reservation
0000196542;2022/12/08;flight
0000142893;2022/10/11;flight
0000115577;2022/05/14;flight
Book0004772049;2022/05/14;reservation
0000005554;2022/03/17;flight
0000167334;2022/01/22;flight
0000130448;2022/01/06;flight
0000127807;2022/01/03;flight
Book0005277286;2022/01/03;reservation
0000005631;2022/01/01;flight
0000044319;2021/12/12;flight
Book0001825601;2021/12/12;reservation
0000191218;2021/05/08;flight
0000048005;2021/05/05;flight
0000116200;2021/05/05;flight
Book0001978206;2021/05/05;reservation
0000177445;2021/03/22;flight
Book0001677156;2021/03/03;reservation
0000124946;2021/02/17;flight
Book0005158826;2021/02/17;reservation
0000060672;2021/02/13;flight
Book0002501983;2021/02/13;reservation
0000194852;2021/02/04;flight
