Book0000304997;2023/09/01;2023/09/03;SGuerreiro561;1;659.200
Book0000304999;2023/09/01;2023/09/03;WilsPaiva212;1;659.200
Book0000305000;2023/09/01;2023/09/03;SanSá1413;2;659.200
Book0000305002;2023/09/01;2023/09/04;CTeixeira1937;3;988.800
Book0000305009;2023/09/01;2023/09/02;SRocha312;2;329.600
Book0000305013;2023/09/01;2023/09/02;MadPinho807;3;329.600
Book0000305017;2023/09/01;2023/09/02;TRamos1207;3;329.600
Book0000305020;2023/09/01;2023/09/05;RitValente;1;1318.400
Book0000423881;2023/09/01;2023/09/04;LúciLima538;4;988.800
Book0000423888;2023/09/01;2023/09/04;JoaquGuerreiro182;3;988.800
Book0000423898;2023/09/01;2023/09/03;WilMachado1545;4;659.200
Book0000423901;2023/09/01;2023/09/02;ÂngePires1618;3;329.600
Book0000423905;2023/09/01;2023/09/05;AlexaAlves1000;1;1318.400
Book0000423913;2023/09/01;2023/09/04;DavSousa-Reis;3;988.800
Book0000423914;2023/09/01;2023/09/05;EduarTorres368;1;1318.400
Book0001534726;2023/09/01;2023/09/03;ValentiCosta1404;4;659.200
Book0001534727;2023/09/01;2023/09/04;ÂAmaral1637;1;988.800
Book0001534731;2023/09/01;2023/09/05;PPinho849;1;1318.400
Book0001534737;2023/09/01;2023/09/04;LetíciLeite-Barbosa1706;1;988.800
Book0001534745;2023/09/01;2023/09/05;ValeNunes652;4;1318.400
Book0001534746;2023/09/01;2023/09/02;MiGonçalves294;4;329.600
Book0001534758;2023/09/01;2023/09/05;SoEsteves1202;4;1318.400
Book0001534764;2023/09/01;2023/09/02;MélBorges955;1;329.600
Book0001534766;2023/09/01;2023/09/05;PeSilva1917;4;1318.400
Book0001534767;2023/09/01;2023/09/03;IaCastro634;1;659.200
Book0001534770;2023/09/01;2023/09/03;DanTorres1572;4;659.200
Book0001534771;2023/09/01;2023/09/02;SoraiFerreira1397;1;329.600
Book0001534772;2023/09/01;2023/09/03;EmTavares261;3;659.200
Book0001534773;2023/09/01;2023/09/04;RCoelho1208;2;988.800
Book0001711952;2023/09/01;2023/09/04;RCarneiro1554;3;988.800
Book0001711960;2023/09/01;2023/09/03;RaAlves-Campos1339;4;659.200
Book0001711964;2023/09/01;2023/09/04;ValenTorres1749;1;988.800
Book0001711967;2023/09/01;2023/09/03;VictóReis668;4;659.200
Book0001711974;2023/09/01;2023/09/03;LisandrOliveira1621;4;659.200
Book0001711986;2023/09/01;2023/09/05;CaCardoso446;2;1318.400
Book0001711991;2023/09/01;2023/09/04;ViceMota-Pereira;3;988.800
Book0001711992;2023/09/01;2023/09/04;TerMonteiro1193;2;988.800
Book0001712001;2023/09/01;2023/09/02;EGuerreiro1516;4;329.600
Book0001712002;2023/09/01;2023/09/03;GonçalAbreu1052;3;659.200
Book0003013741;2023/09/01;2023/09/04;ABarbosa970;1;988.800
Book0003013747;2023/09/01;2023/09/05;JéssiVieira1962;1;1318.400
Book0003013748;2023/09/01;2023/09/05;MatiaRodrigues;3;1318.400
Book0003013750;2023/09/01;2023/09/05;DMacedo1438;4;1318.400
Book0003013761;2023/09/01;2023/09/04;JoaNeves682;2;988.800
Book0003013768;2023/09/01;2023/09/02;LorSimões1913;1;329.600
Book0005686224;2023/09/01;2023/09/02;MMonteiro1022;2;329.600
Book0005686226;2023/09/01;2023/09/02;FernanNeto422;2;329.600
Book0005686227;2023/09/01;2023/09/02;BrLeite1469;4;329.600
Book0005686228;2023/09/01;2023/09/05;ManueOliveira548;3;1318.400
Book0005686229;2023/09/01;2023/09/05;CéLeal1410;4;1318.400
Book0005686234;2023/09/01;2023/09/05;AlexanVicente1925;2;1318.400
Book0005686240;2023/09/01;2023/09/03;MaAssunção290;4;659.200
Book0005686241;2023/09/01;2023/09/04;Letícia-AVieira1982;2;988.800
Book0005686246;2023/09/01;2023/09/05;MauPacheco843;1;1318.400
Book0005686248;2023/09/01;2023/09/04;XaviSimões1381;1;988.800
Book0005686264;2023/09/01;2023/09/05;ÍMachado873;4;1318.400
Book0005961533;2023/09/01;2023/09/03;RúMonteiro;3;659.200
Book0005961539;2023/09/01;2023/09/04;NáBarros;1;988.800
Book0005961542;2023/09/01;2023/09/05;CarPaiva1911;3;1318.400
Book0005961551;2023/09/01;2023/09/05;AlexandNogueira328;4;1318.400
Book0005961560;2023/09/01;2023/09/05;Patrícia-EMacedo;3;1318.400
Book0005961564;2023/09/01;2023/09/03;SamuePacheco309;4;659.200
Book0005961572;2023/09/01;2023/09/02;SanJesus1067;1;329.600
Book0005961580;2023/09/01;2023/09/02;MárcNunes1286;4;329.600
Book0000212946;2023/08/22;2023/08/24;DeHenriques728;1;659.200
Book0000212955;2023/08/22;2023/08/26;MaurEsteves1876;4;1318.400
Book0000212956;2023/08/22;2023/08/24;Beatriz-Simões;4;659.200
Book0000212959;2023/08/22;2023/08/23;HuMonteiro1839;4;329.600
Book0000212972;2023/08/22;2023/08/25;KellSousa562;1;988.800
Book0000212978;2023/08/22;2023/08/26;FilipValente1132;3;1318.400
Book0000212979;2023/08/22;2023/08/25;AlPinho1920;3;988.800
Book0000212982;2023/08/22;2023/08/26;VíAndrade99;1;1318.400
Book0000212983;2023/08/22;2023/08/23;CMorais1649;1;329.600
Book0000265686;2023/08/22;2023/08/23;MaCastro740;4;329.600
Book0000265688;2023/08/22;2023/08/25;IPaiva358;1;988.800
Book0000265698;2023/08/22;2023/08/26;MatValente658;4;1318.400
Book0000265702;2023/08/22;2023/08/23;ViVaz555;1;329.600
Book0000265705;2023/08/22;2023/08/25;MáVieira1144;2;988.800
Book0000265706;2023/08/22;2023/08/24;KeviBatista;1;659.200
Book0000265707;2023/08/22;2023/08/25;LFreitas56;1;988.800
Book0000265710;2023/08/22;2023/08/23;MaAmaral1115;3;329.600
Book0000265716;2023/08/22;2023/08/23;MigueMartins1259;2;329.600
Book0000265721;2023/08/22;2023/08/24;KBarbosa631;1;659.200
