0000103085;2023/08/17;flight
Book0004255408;2023/08/17;reservation
0000021714;2023/08/08;flight
Book0000893738;2023/08/08;reservation
0000009029;2023/07/15;flight
0000094779;2023/06/21;flight
0000051961;2023/06/03;flight
0000005585;2023/03/03;flight
Book0000229839;2023/03/03;reservation
0000019156;2023/01/18;flight
Book0000788128;2023/01/18;reservation
0000075889;2022/10/13;flight
Book0003130630;2022/10/13;reservation
0000028274;2022/10/11;flight
Book0001164446;2022/10/11;reservation
Book0001550500;2022/06/05;reservation
0000105338;2022/03/20;flight
Book0004348415;2022/03/20;reservation
0000125760;2022/02/16;flight
0000166696;2022/02/15;flight
0000061855;2021/12/22;flight
Book0002550747;2021/12/22;reservation
0000110169;2021/07/01;flight
Book0004548326;2021/07/01;reservation
0000066228;2021/03/21;flight
0000087621;2021/03/10;flight
0000012223;2021/01/17;flight
Book0000502332;2021/01/17;reservation
0000001071;2021/01/15;flight
Book0000044471;2021/01/15;reservation
