0000018037;2023/06/18;flight
0000003623;2023/06/07;flight
Book0000149530;2023/06/07;reservation
0000116415;2023/05/13;flight
Book0004806706;2023/05/13;reservation
0000064572;2023/04/13;flight
Book0002663346;2023/04/13;reservation
0000088219;2022/12/22;flight
Book0003639914;2022/12/22;reservation
0000132693;2022/11/17;flight
0000092634;2022/10/21;flight
0000064728;2022/08/22;flight
Book0002669939;2022/08/22;reservation
0000053820;2022/05/17;flight
Book0002219774;2022/05/17;reservation
0000140478;2022/01/18;flight
Book0005799840;2022/01/18;reservation
Book0003360322;2021/12/09;reservation
0000165386;2021/11/14;flight
0000189570;2021/03/03;flight
0000111056;2021/01/12;flight
Book0004585318;2021/01/12;reservation
0000100106;2021/01/10;flight
0000041062;2021/01/10;flight
Book0001691556;2021/01/10;reservation
Book0004131848;2021/01/10;reservation
