0000103473;2023/08/08;flight
Book0004271650;2023/08/08;reservation
0000018278;2023/08/04;flight
0000174315;2023/07/15;flight
0000179396;2023/06/04;flight
0000018692;2023/05/06;flight
Book0000768943;2023/05/06;reservation
0000061344;2023/04/07;flight
Book0002529749;2023/04/07;reservation
0000148513;2023/03/06;flight
0000057775;2022/11/20;flight
0000122917;2022/11/09;flight
0000046575;2022/05/08;flight
Book0001918657;2022/05/08;reservation
0000001355;2022/04/03;flight
Book0000056309;2022/04/03;reservation
0000040543;2022/02/13;flight
0000124828;2022/01/14;flight
Book0005154060;2022/01/14;reservation
0000158361;2021/06/22;flight
0000143771;2021/05/08;flight
Book0005935738;2021/05/08;reservation
0000025779;2021/04/05;flight
Book0001061828;2021/04/05;reservation
0000083350;2021/01/17;flight
Book0003438615;2021/01/17;reservation
