0000185922;2023/08/15;flight
0000096437;2023/08/05;flight
0000092505;2023/07/09;flight
0000038518;2023/07/09;flight
0000060843;2023/07/07;flight
Book0002509034;2023/07/07;reservation
0000036807;2023/05/15;flight
Book0001516091;2023/05/15;reservation
0000195287;2023/05/05;flight
0000157841;2023/03/22;flight
0000062478;2022/11/15;flight
0000113850;2022/08/05;flight
Book0004700832;2022/08/05;reservation
0000067292;2022/05/18;flight
Book0002776045;2022/05/18;reservation
0000181636;2022/05/14;flight
0000001125;2022/05/10;flight
Book0000046772;2022/05/10;reservation
0000140552;2021/11/12;flight
0000095870;2021/08/15;flight
Book0003955754;2021/08/15;reservation
0000144745;2021/05/14;flight
0000034523;2021/03/16;flight
0000126274;2021/03/07;flight
0000034559;2021/02/16;flight
Book0001422972;2021/02/16;reservation
