1;0;262;21153;20923;7982
2;0;265;21942;21687;8788
3;0;263;21304;21114;9302
4;0;255;21080;20857;7900
5;0;244;20122;19942;8163
6;0;259;21053;20826;8503
7;0;235;19244;19070;7179
8;0;260;21303;21082;8017
9;0;241;19669;19478;8072
10;0;239;19659;19455;8308
11;0;260;21636;21404;8324
12;0;241;19407;19231;8331
13;0;248;19987;19792;7827
14;0;256;20830;20614;8480
15;0;276;22322;22068;9454
16;0;256;20460;20274;8539
17;0;244;19967;19758;8060
18;0;242;19814;19600;8257
19;0;257;21381;21153;8380
20;0;244;19799;19582;8694
21;0;240;19567;19389;8175
22;0;278;22279;22016;8444
