Book0000304976;2023/09/01;2023/09/03;ÁlvPinheiro1474;2;597.400
Book0000304984;2023/09/01;2023/09/04;CéMachado1973;3;896.100
Book0000304985;2023/09/01;2023/09/04;RenRocha1566;2;896.100
Book0000304988;2023/09/01;2023/09/03;DioSousa1093;4;597.400
Book0000304991;2023/09/01;2023/09/04;IvAssunção-Alves295;3;896.100
Book0000304994;2023/09/01;2023/09/04;ViMorais804;3;896.100
Book0000305001;2023/09/01;2023/09/05;GuGaspar823;2;1194.800
Book0000305005;2023/09/01;2023/09/04;RodrigMatos1242;4;896.100
Book0000305006;2023/09/01;2023/09/04;CAssunção-Mota1093;4;896.100
Book0000305007;2023/09/01;2023/09/04;AlexandBatista1860;2;896.100
Book0000305012;2023/09/01;2023/09/04;EGonçalves-Coelho1311;4;896.100
Book0000305014;2023/09/01;2023/09/05;DiCorreia723;4;1194.800
Book0000305021;2023/09/01;2023/09/03;VioletMatos269;2;597.400
Book0000423887;2023/09/01;2023/09/02;ClarFigueiredo-Domingues1682;4;298.700
Book0000423894;2023/09/01;2023/09/05;CarTorres471;4;1194.800
Book0000423900;2023/09/01;2023/09/02;Nicole-Figueiredo1938;2;298.700
Book0000423902;2023/09/01;2023/09/05;CMendes1310;3;1194.800
Book0000423904;2023/09/01;2023/09/04;XaviFaria1352;2;896.100
Book0000423915;2023/09/01;2023/09/04;AmAnjos1463;2;896.100
Book0000423918;2023/09/01;2023/09/04;DiMarques335;3;896.100
Book0001534722;2023/09/01;2023/09/04;PatríciRodrigues;2;896.100
Book0001534732;2023/09/01;2023/09/03;RiTavares955;2;597.400
Book0001534743;2023/09/01;2023/09/04;GiAssunção-Campos560;1;896.100
Book0001534744;2023/09/01;2023/09/02;ConstanBranco1876;1;298.700
Book0001534747;2023/09/01;2023/09/02;JéssicMendes1166;3;298.700
Book0001534751;2023/09/01;2023/09/05;LuCarneiro1530;3;1194.800
Book0001534752;2023/09/01;2023/09/02;NoAlmeida452;4;298.700
Book0001534754;2023/09/01;2023/09/02;ÂnSimões690;3;298.700
Book0001534763;2023/09/01;2023/09/02;JoBatista-Pires1954;1;298.700
Book0001534765;2023/09/01;2023/09/05;AnCastro561;4;1194.800
