0000114267;2022/12/22 17:21:19;CDG;EasyJet;Airbus A320
0000077556;2022/12/22 17:19:39;AMS;British Airways;Boeing 737
0000161605;2022/12/22 16:54:03;AMS;British Airways;Boeing 737
0000137563;2022/12/22 16:51:10;AMS;British Airways;Boeing 737
0000070544;2022/12/22 13:09:02;AMS;British Airways;Boeing 737
0000021099;2022/12/22 12:27:25;AMS;British Airways;Boeing 737
0000087439;2022/12/22 12:09:28;CDG;EasyJet;Airbus A320
0000151228;2022/12/22 12:00:37;AMS;British Airways;Boeing 737
0000083946;2022/12/22 11:32:06;CDG;EasyJet;Airbus A320
0000115140;2022/12/22 10:06:14;CDG;EasyJet;Airbus A320
0000067069;2022/12/22 09:31:39;AMS;British Airways;Boeing 737
0000153161;2022/12/22 07:19:06;AMS;British Airways;Boeing 737
0000001559;2022/12/22 06:55:27;AMS;British Airways;Boeing 737
0000157129;2022/12/22 06:31:20;AMS;British Airways;Boeing 737
0000098715;2022/12/22 06:26:39;CDG;EasyJet;Airbus A320
0000028489;2022/12/22 04:04:09;CDG;EasyJet;Airbus A320
0000138374;2022/12/22 03:18:26;CDG;EasyJet;Airbus A320
0000158040;2022/12/22 02:36:19;AMS;British Airways;Boeing 737
0000171308;2022/12/22 01:46:56;AMS;British Airways;Boeing 737
0000147911;2022/12/22 01:13:08;AMS;British Airways;Boeing 737
0000050729;2022/12/22 00:58:48;AMS;British Airways;Boeing 737
0000163310;2022/12/22 00:50:50;CDG;EasyJet;Airbus A320
0000134335;2022/12/21 16:34:32;AMS;British Airways;Boeing 737
0000105489;2022/12/21 16:15:27;CDG;EasyJet;Airbus A320
0000109437;2022/12/21 15:57:45;CDG;EasyJet;Airbus A320
0000008592;2022/12/21 14:20:31;AMS;British Airways;Boeing 737
0000080661;2022/12/21 13:22:16;AMS;British Airways;Boeing 737
0000061040;2022/12/21 12:21:44;AMS;British Airways;Boeing 737
0000136421;2022/12/21 09:41:06;AMS;British Airways;Boeing 737
0000111575;2022/12/21 08:58:58;CDG;EasyJet;Airbus A320
0000089855;2022/12/21 08:47:40;AMS;British Airways;Boeing 737
0000052662;2022/12/21 08:44:20;AMS;British Airways;Boeing 737
