0000118864;2023/06/12;flight
0000048333;2023/06/11;flight
Book0001991720;2023/06/11;reservation
0000178894;2023/05/21;flight
0000087303;2023/03/04;flight
Book0003602401;2023/03/04;reservation
0000060432;2023/02/03;flight
0000088976;2023/01/05;flight
0000058152;2023/01/01;flight
0000016222;2022/10/21;flight
Book0000666709;2022/10/21;reservation
0000038344;2022/10/10;flight
Book0001580160;2022/10/10;reservation
0000124842;2022/07/08;flight
Book0005154651;2022/07/08;reservation
0000171546;2022/06/09;flight
0000030286;2022/04/19;flight
0000089671;2021/12/14;flight
0000002407;2021/09/13;flight
Book0000099826;2021/09/13;reservation
Book0004765375;2021/05/05;reservation
0000075321;2021/03/16;flight
0000052482;2021/02/19;flight
